"holdout","single","external","external_extended"
104700.000000001,99166.0836302182,104295.294908265,104042.739518075
94775.9999999974,102660.186446555,101321.287605833,103253.727859607
84989.0000000024,96851.8829465399,93467.1287006679,92212.9792434027
78491.9999999984,81112.7879083766,81792.2312971231,80657.1770457054
73783.0000000033,80909.9766826055,73179.6125090839,73011.5101444278
68551.9999999994,78605.8801392628,67523.3639092166,67861.8968572195
64523.0000000013,68519.8445030342,65080.0849634128,65161.3158857937
57546.9999999986,63629.5114039973,60370.7476853782,61133.5864395198
55417.9999999974,54645.4050772056,55834.3701152657,56264.6328225301
53521.0000000016,52611.8165513858,54633.3946651918,54384.8095104659
50412.9999999983,54253.1594905411,54457.8119096031,55219.4577365844
49409.9999999977,44380.2957187687,48925.6329008263,48825.4834390542
47573.0000000022,46383.3797755633,47277.7120168644,47126.4876581887
44744.9999999991,43997.1094002429,47015.6366582167,47011.5424886736
41224.9999999987,35229.6255534482,39421.9924275599,40113.4089843432
37749.0000000011,33589.4393156728,37988.1747094951,38680.1754984634
35809.9999999983,32238.8490234294,35440.4772105702,36260.3585584344
35224.0000000007,34311.0780028595,34408.7536267413,34800.1602435616
32129.9999999997,32571.7891187676,33661.4283872684,34975.1484378054
35017.0000000013,29568.0888534316,31431.9215545404,31274.6698200225
33356.9999999994,34693.7316822995,35794.5163731514,36054.8504816457
34815.9999999998,37148.9352253488,33894.0993444818,34377.7102755014
35018.9999999985,35805.2074813847,34635.7002493269,34387.8264965183
35084.999999999,40573.9116187685,36153.7099900756,36015.2333683613
37048.9999999988,41157.7124244833,37923.59507751,37430.3765456061
41838.9999999998,46108.7359755716,42299.3478440769,40777.1118879378
45676.0000000022,47503.8750838296,44686.1999877563,44400.8014666751
44740.0000000015,47097.0555313736,46652.4049042833,47548.9123928366
46653.999999999,46757.274634626,45255.361686752,45253.9903913356
48504.0000000008,55278.979512667,49363.7655014428,49373.160627433
46845.9999999978,46131.2201553986,49862.2035183092,50314.6452853755
49676.0000000003,49050.7831384908,54079.4713784648,52806.2911181567
51656.0000000002,47733.0657039771,51494.5603757866,50771.8570414355
53461.0000000026,48576.3651812631,56859.8346978348,55847.7180198241
59813.9999999997,53705.9008249626,59551.9735592621,58441.9444760227
61076.0000000008,59411.0801785092,65541.7669892682,65121.0340084039
65982.9999999979,67601.3259552741,68870.2577055983,67327.1423200051
69292.999999997,69947.4809458,72733.1587667082,71441.7062631625
75861.9999999974,60960.1704383961,68010.7608439659,69387.7516496327
73942.999999999,87704.9282135101,93154.8276044783,86331.4617499104
87437.0000000042,84316.2569108697,76346.7541057675,77737.7556743831
100758.000000005,98541.7070449816,100930.287561738,97410.1630406692
133011.999999997,119870.876218999,110258.789649384,110046.704498494
167410.999999998,143517.781056116,134266.385455108,135352.046602674
164458,167549.625116016,150133.71315569,154512.203425333
139494,147266.170142186,135531.738152692,147184.282849889
156728.999999998,128290.800991839,119129.51973449,126988.203063833
179703.999999995,165068.940105273,158873.113269636,155372.211589509
214625.000000004,208083.390088364,177697.268606127,183169.318786475
222651.999999999,224438.960186486,225130.727735568,224092.867109119
192807.000000005,206827.638441303,206786.065673542,209019.995999416
156807.999999995,176554.892579256,185533.707427173,182531.636082043
133099,137656.510900884,148658.483863828,148932.675572586
114115.999999997,113538.702888967,119906.625659176,124228.516662695
103495.999999997,102200.510349268,103339.31882148,105757.715709493
87568.0000000011,95510.6395794149,97404.8732374816,96694.276108379
77149.9999999997,83494.1048955983,82377.8361122995,82224.9847673056
66660.0000000028,66759.8166258137,73801.0075035666,74213.8784103435
61065.9999999973,68446.5811485088,65744.028199383,65039.4521459592
56759.0000000012,52919.3419557077,52979.2990502559,55466.5325188202
54691.0000000015,51013.1777385266,53415.5137002725,52903.3668284332
50061.9999999977,50795.1532692633,50517.8909734921,51799.4288906663
47466.9999999986,45166.6175654281,44857.3851784371,46145.7978222455
46500.0000000021,46778.7137207079,46998.9977777253,46327.6331661591
44990.9999999983,45413.1205036887,44923.2583000589,44322.4483999444
43367.9999999988,39097.714656706,41613.3464751083,42998.5056041991
39018.9999999999,39537.7136818258,40352.8153509741,40109.5727624546
34362.9999999984,37074.7628490931,35022.8393048933,36248.0934040475
31433.0000000008,31861.1894793194,32664.1560423689,32314.2453852344
28824.9999999986,31640.5470300323,31393.8413408873,30871.6825674664
25534.9999999991,27761.7856858421,27367.5193668693,28034.8227250706
26358.9999999989,26961.8878677383,28188.7672930017,26291.8024532823
24764.9999999989,26086.2840586916,25819.4042815703,26183.1419381924
25095.9999999997,26194.9308509518,26259.7999068922,25962.8641937089
25180.9999999989,25841.2629340998,26876.0976947866,26322.1360714336
27257.0000000011,26463.4719319004,26537.775171019,26238.7250228081
29174.9999999995,29441.0364733175,29975.7065627407,29712.7133327503
35041.9999999998,35467.5895948668,33045.4072583975,32513.1599616858
41515.0000000008,36923.5922700554,37898.1913622896,37874.8371670793
42037.9999999988,38489.6341679922,42475.0210333773,43309.3406856493
42083.0000000009,44230.1673600192,44510.2051546056,44459.1606211442
41955.0000000002,42718.6275202006,42600.6899487969,43073.5145996591
39771.0000000014,40488.3572289997,40809.3600946959,41302.409690679
41524.9999999993,40572.2129498693,41534.9203905974,41838.908258555
41503.9999999985,40464.5021190159,43709.2163766606,43291.2085457871
41959.9999999995,42369.5793061936,43657.9129600377,43231.2510393012
44201.0000000014,47019.988470399,45813.3438709944,45578.8393686455
45662.0000000011,43709.5815875777,45475.2197494014,45446.5224812249
54420.9999999977,51625.2366478024,50293.5658655376,49353.7584948134
56887.999999999,59128.2760707505,57460.726798516,56975.3024267734
66224.999999999,59073.2152389662,60790.6146926805,61332.2119003414
70418.0000000002,69110.2362324322,68589.7734322413,69986.7423964897
87183.0000000018,83098.7861951799,81477.335629567,76099.503778927
114092.999999995,101418.739272823,100326.289969498,99634.749633908
171641.000000004,147625.439375671,145248.296404289,139993.361042591
215253.999999998,202949.208424606,211300.440652204,201849.628464616
187671.999999995,223587.167569401,208669.323407922,209660.189822323
146886.000000003,151121.351267577,153983.574708645,160324.013115938
114422.000000006,146750.56793516,150800.952495999,148283.472863201
109743,124340.892695398,122011.792954763,115626.761554987
103329,124221.21036083,122538.650927991,115141.36532987
110461.999999999,102575.084675125,106757.559722906,105409.508350852
117144.999999998,100767.372676079,103608.936058207,104753.586829352
111263.000000001,100706.684938126,104449.199710823,106759.314799951
